"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES","SHA256","SUPPLIER","COPYRIGHT_TEXT","CPE_ID","PURL","CPE23_TYPE","PACKAGE_URL","PKG_TYPE","COMPONENT_SCOPE"
"apt-config-icons","1.0.5-1","FSFAP | GPL-2+ | GPL-2+ and LGPL-2.1+ | LGPL-2.1+ | SIL-1.1","","","","","","Organization: Matthias Klumpp <mak@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:appstream:1.0.5-1:*:*:*:*:*:*:*","pkg:deb/debian/appstream@1.0.5-1?arch=all","cpe:2.3:a:debian:appstream:1.0.5-1:*:*:*:*:*:*:*","pkg:deb/debian/appstream@1.0.5-1?arch=all","APPLICATION","debian-target"
"apt-transport-https","3.0.3","BSD-3-clause | Expat | GPL-2 | GPL-2+ | GPL-2+ and curl | curl","","","","","","Organization: APT Development Team <deity@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=all","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=all","APPLICATION","debian-target"
"apt-utils","3.0.3","BSD-3-clause | Expat | GPL-2 | GPL-2+ | GPL-2+ and curl | curl","","","","","","Organization: APT Development Team <deity@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=arm64","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=arm64","OPERATING_SYSTEM","debian-target"
"at-spi2-common","2.56.2-1+deb13u1","AFL-2.1 | AFL-2.1 or GPL-2+ | GPL-2 | GPL-2+ | LGPL-2+ | LGPL-2.1+ | public-domain","","","","","","Organization: Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>","Copyright (c) Debian contributors","cpe:2.3:a:debian:at-spi2-core:2.56.2-1+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/at-spi2-core@2.56.2-1+deb13u1?arch=all","cpe:2.3:a:debian:at-spi2-core:2.56.2-1+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/at-spi2-core@2.56.2-1+deb13u1?arch=all","APPLICATION","debian-target"
"at-spi2-core","2.56.2-1+deb13u1","AFL-2.1 | AFL-2.1 or GPL-2+ | GPL-2 | GPL-2+ | LGPL-2+ | LGPL-2.1+ | public-domain","","","","","","Organization: Debian Accessibility Team <pkg-a11y-devel@alioth-lists.debian.net>","Copyright (c) Debian contributors","cpe:2.3:a:debian:at-spi2-core:2.56.2-1+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/at-spi2-core@2.56.2-1+deb13u1?arch=arm64","cpe:2.3:a:debian:at-spi2-core:2.56.2-1+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/at-spi2-core@2.56.2-1+deb13u1?arch=arm64","APPLICATION","debian-target"
"baobab","48.0-2+b1","GPL-2+","","","","","","Organization: Debian GNOME Maintainers <pkg-gnome-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:baobab (48.0-2):48.0-2+b1:*:*:*:*:*:*:*","pkg:deb/debian/baobab (48.0-2)@48.0-2+b1?arch=arm64","cpe:2.3:a:debian:baobab (48.0-2):48.0-2+b1:*:*:*:*:*:*:*","pkg:deb/debian/baobab (48.0-2)@48.0-2+b1?arch=arm64","APPLICATION","debian-target"
"base-files","13.8+deb13u5","GPL-2+ | verbatim","","","","","","Organization: Santiago Vila <sanvila@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:base-files:13.8+deb13u5:*:*:*:*:*:*:*","pkg:deb/debian/base-files@13.8+deb13u5?arch=arm64","cpe:2.3:a:debian:base-files:13.8+deb13u5:*:*:*:*:*:*:*","pkg:deb/debian/base-files@13.8+deb13u5?arch=arm64","OPERATING_SYSTEM","debian-target"
"base-passwd","3.6.7","GPL-2 | public-domain","","","","","","Organization: Shadow package maintainers <pkg-shadow-devel@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:base-passwd:3.6.7:*:*:*:*:*:*:*","pkg:deb/debian/base-passwd@3.6.7?arch=arm64","cpe:2.3:a:debian:base-passwd:3.6.7:*:*:*:*:*:*:*","pkg:deb/debian/base-passwd@3.6.7?arch=arm64","OPERATING_SYSTEM","debian-target"
"bash","5.2.37-2+b9","BSD-4-clause-UC | BSD-4-clause-UC and MIT-like | GFDL-NIV-1.3 | GPL-2+ | GPL-3+ | GPL-3+ with Bison exception | Latex2e | MIT-like | permissive","","","","","","Organization: Matthias Klose <doko@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bash (5.2.37-2):5.2.37-2+b9:*:*:*:*:*:*:*","pkg:deb/debian/bash (5.2.37-2)@5.2.37-2+b9?arch=arm64","cpe:2.3:a:debian:bash (5.2.37-2):5.2.37-2+b9:*:*:*:*:*:*:*","pkg:deb/debian/bash (5.2.37-2)@5.2.37-2+b9?arch=arm64","APPLICATION","debian-target"
"bash-completion","1:2.16.0-7","GPL-2+","","","","","","Organization: Gabriel F. T. Gomes <gabriel@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bash-completion:1:2.16.0-7:*:*:*:*:*:*:*","pkg:deb/debian/bash-completion@1:2.16.0-7?arch=all","cpe:2.3:a:debian:bash-completion:1:2.16.0-7:*:*:*:*:*:*:*","pkg:deb/debian/bash-completion@1:2.16.0-7?arch=all","APPLICATION","debian-target"
"bc","1.07.1-4+b1","GPL-2.0+ | GPL-2.0+ with Texinfo exception | X11 and public-domain | permissive | permissive'","","","","","","Organization: Ryan Kavanagh <rak@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bc (1.07.1-4):1.07.1-4+b1:*:*:*:*:*:*:*","pkg:deb/debian/bc (1.07.1-4)@1.07.1-4+b1?arch=arm64","cpe:2.3:a:debian:bc (1.07.1-4):1.07.1-4+b1:*:*:*:*:*:*:*","pkg:deb/debian/bc (1.07.1-4)@1.07.1-4+b1?arch=arm64","APPLICATION","debian-target"
"binfmt-support","2.2.2-7+b1","GPL-3+","","","","","","Organization: Colin Watson <cjwatson@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:binfmt-support (2.2.2-7):2.2.2-7+b1:*:*:*:*:*:*:*","pkg:deb/debian/binfmt-support (2.2.2-7)@2.2.2-7+b1?arch=arm64","cpe:2.3:a:debian:binfmt-support (2.2.2-7):2.2.2-7+b1:*:*:*:*:*:*:*","pkg:deb/debian/binfmt-support (2.2.2-7)@2.2.2-7+b1?arch=arm64","OPERATING_SYSTEM","debian-target"
"binutils","2.44-3","","","","","","","Organization: Matthias Klose <doko@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","LIBRARY","debian-target"
"binutils-aarch64-linux-gnu","2.44-3","","","","","","","Organization: Matthias Klose <doko@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","LIBRARY","debian-target"
"binutils-common","2.44-3","","","","","","","Organization: Matthias Klose <doko@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","cpe:2.3:a:debian:binutils:2.44-3:*:*:*:*:*:*:*","pkg:deb/debian/binutils@2.44-3?arch=arm64","LIBRARY","debian-target"
"blueman","2.4.4-1","GPL-3+","","","","","","Organization: Christopher Schramm <debian@cschramm.eu>","Copyright (c) Debian contributors","cpe:2.3:a:debian:blueman:2.4.4-1:*:*:*:*:*:*:*","pkg:deb/debian/blueman@2.4.4-1?arch=arm64","cpe:2.3:a:debian:blueman:2.4.4-1:*:*:*:*:*:*:*","pkg:deb/debian/blueman@2.4.4-1?arch=arm64","APPLICATION","debian-target"
"bluez","5.82-1.1","Apache-2.0 | BSD-2-clause | GPL-2+ | LGPL-2.1+","","","","","","Organization: Debian Bluetooth Maintainers <team+pkg-bluetooth@tracker.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bluez:5.82-1.1:*:*:*:*:*:*:*","pkg:deb/debian/bluez@5.82-1.1?arch=arm64","cpe:2.3:a:debian:bluez:5.82-1.1:*:*:*:*:*:*:*","pkg:deb/debian/bluez@5.82-1.1?arch=arm64","OPERATING_SYSTEM","debian-target"
"bluez-obexd","5.82-1.1","Apache-2.0 | BSD-2-clause | GPL-2+ | LGPL-2.1+","","","","","","Organization: Debian Bluetooth Maintainers <team+pkg-bluetooth@tracker.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bluez:5.82-1.1:*:*:*:*:*:*:*","pkg:deb/debian/bluez@5.82-1.1?arch=arm64","cpe:2.3:a:debian:bluez:5.82-1.1:*:*:*:*:*:*:*","pkg:deb/debian/bluez@5.82-1.1?arch=arm64","OPERATING_SYSTEM","debian-target"
"bsdextrautils","2.41-5","BSD-2-clause | BSD-3-clause | BSD-4-clause | BSLA | Expat | GPL-2 | GPL-2+ | GPL-3+ | ISC | LGPL | LGPL-2+ | LGPL-2.1+ | LGPL-3+ | public-domain","","","","","","Organization: Chris Hofstaedtler <zeha@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:util-linux:2.41-5:*:*:*:*:*:*:*","pkg:deb/debian/util-linux@2.41-5?arch=arm64","cpe:2.3:a:debian:util-linux:2.41-5:*:*:*:*:*:*:*","pkg:deb/debian/util-linux@2.41-5?arch=arm64","APPLICATION","debian-target"
"bsdmainutils","12.1.8","","","","","","","Organization: Debian Bsdmainutils Team <pkg-bsdmainutils@teams.debian.net>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bsdmainutils:12.1.8:*:*:*:*:*:*:*","pkg:deb/debian/bsdmainutils@12.1.8?arch=all","cpe:2.3:a:debian:bsdmainutils:12.1.8:*:*:*:*:*:*:*","pkg:deb/debian/bsdmainutils@12.1.8?arch=all","APPLICATION","debian-target"
"bsdutils","1:2.41-5","BSD-2-clause | BSD-3-clause | BSD-4-clause | BSLA | Expat | GPL-2 | GPL-2+ | GPL-3+ | ISC | LGPL | LGPL-2+ | LGPL-2.1+ | LGPL-3+ | public-domain","","","","","","Organization: Chris Hofstaedtler <zeha@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:util-linux (2.41-5):1:2.41-5:*:*:*:*:*:*:*","pkg:deb/debian/util-linux (2.41-5)@1:2.41-5?arch=arm64","cpe:2.3:a:debian:util-linux (2.41-5):1:2.41-5:*:*:*:*:*:*:*","pkg:deb/debian/util-linux (2.41-5)@1:2.41-5?arch=arm64","APPLICATION","debian-target"
"bubblewrap","0.11.0-2+deb13u1","LGPL-2+ | pd-bubblewrap.jpg","","","","","","Organization: Utopia Maintenance Team <pkg-utopia-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bubblewrap:0.11.0-2+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/bubblewrap@0.11.0-2+deb13u1?arch=arm64","cpe:2.3:a:debian:bubblewrap:0.11.0-2+deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/bubblewrap@0.11.0-2+deb13u1?arch=arm64","OPERATING_SYSTEM","debian-target"
"build-essential","12.12","","","","","","","Organization: Matthias Klose <doko@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:build-essential:12.12:*:*:*:*:*:*:*","pkg:deb/debian/build-essential@12.12?arch=arm64","cpe:2.3:a:debian:build-essential:12.12:*:*:*:*:*:*:*","pkg:deb/debian/build-essential@12.12?arch=arm64","LIBRARY","debian-target"
"busybox","1:1.37.0-6+b8","","","","","","","Organization: Debian Install System Team <debian-boot@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:busybox (1:1.37.0-6):1:1.37.0-6+b8:*:*:*:*:*:*:*","pkg:deb/debian/busybox (1:1.37.0-6)@1:1.37.0-6+b8?arch=arm64","cpe:2.3:a:debian:busybox (1:1.37.0-6):1:1.37.0-6+b8:*:*:*:*:*:*:*","pkg:deb/debian/busybox (1:1.37.0-6)@1:1.37.0-6+b8?arch=arm64","APPLICATION","debian-target"
"bzip2","1.0.8-6","BSD-variant | GPL-2","","","","","","Organization: Anibal Monsalve Salazar <anibal@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:bzip2:1.0.8-6:*:*:*:*:*:*:*","pkg:deb/debian/bzip2@1.0.8-6?arch=arm64","cpe:2.3:a:debian:bzip2:1.0.8-6:*:*:*:*:*:*:*","pkg:deb/debian/bzip2@1.0.8-6?arch=arm64","APPLICATION","debian-target"
"ca-certificates","20250419","GPL-2+ | MPL-2.0","","","","","","Organization: Julien Cristau <jcristau@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:ca-certificates:20250419:*:*:*:*:*:*:*","pkg:deb/debian/ca-certificates@20250419?arch=all","cpe:2.3:a:debian:ca-certificates:20250419:*:*:*:*:*:*:*","pkg:deb/debian/ca-certificates@20250419?arch=all","APPLICATION","debian-target"
"camera-engine-rkaiq","6.33.0","","","","","","","Organization: Caesar Wang <wxt@rock-chips.com>","Copyright (c) Debian contributors","cpe:2.3:a:debian:camera-engine-rkaiq:6.33.0:*:*:*:*:*:*:*","pkg:deb/debian/camera-engine-rkaiq@6.33.0?arch=arm64","cpe:2.3:a:debian:camera-engine-rkaiq:6.33.0:*:*:*:*:*:*:*","pkg:deb/debian/camera-engine-rkaiq@6.33.0?arch=arm64","LIBRARY","debian-target"
"can-utils","2023.03-1+b2","BSD-3-clause | BSD-3-clause or GPL-2 | BSD-3-clause or GPL-2 with Linux-syscall-note exception | GPL-2 | GPL-2 with Linux-syscall-note exception | GPL-2+","","","","","","Organization: Alexander GQ Gerasiov <gq@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:can-utils (2023.03-1):2023.03-1+b2:*:*:*:*:*:*:*","pkg:deb/debian/can-utils (2023.03-1)@2023.03-1+b2?arch=arm64","cpe:2.3:a:debian:can-utils (2023.03-1):2023.03-1+b2:*:*:*:*:*:*:*","pkg:deb/debian/can-utils (2023.03-1)@2023.03-1+b2?arch=arm64","APPLICATION","debian-target"
"cheese","44.1-5","CC-BY-SA-3.0 | GPL-2+","","","","","","Organization: Debian GNOME Maintainers <pkg-gnome-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=arm64","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=arm64","APPLICATION","debian-target"
"cheese-common","44.1-5","CC-BY-SA-3.0 | GPL-2+","","","","","","Organization: Debian GNOME Maintainers <pkg-gnome-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=all","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=all","APPLICATION","debian-target"
"cheese-dbgsym","44.1-5","CC-BY-SA-3.0 | GPL-2+","","","","","","Organization: Debian GNOME Maintainers <pkg-gnome-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=arm64","cpe:2.3:a:debian:cheese:44.1-5:*:*:*:*:*:*:*","pkg:deb/debian/cheese@44.1-5?arch=arm64","APPLICATION","debian-target"
"chromium-ozone-wayland","132.0.6834.83","","","","","","","Organization: Jeffy Chen <jeffy.chen@rock-chips.com>","Copyright (c) Debian contributors","cpe:2.3:a:debian:chromium-ozone-wayland:132.0.6834.83:*:*:*:*:*:*:*","pkg:deb/debian/chromium-ozone-wayland@132.0.6834.83?arch=arm64","cpe:2.3:a:debian:chromium-ozone-wayland:132.0.6834.83:*:*:*:*:*:*:*","pkg:deb/debian/chromium-ozone-wayland@132.0.6834.83?arch=arm64","APPLICATION","debian-target"
"cmake","3.31.6-2","Apache-2.0 | BSD-0-Clause | BSD-2-Clause | BSD-2-Clause or ISC | BSD-3-Clause | BSD-3-clause | BSD-4-Clause | Expat | FSFAP | GPL-2+ with Bison exception | GPL-3+ with Bison exception | ISC | Zlib","","","","","","Organization: Debian CMake Team <pkg-cmake-team@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cmake:3.31.6-2:*:*:*:*:*:*:*","pkg:deb/debian/cmake@3.31.6-2?arch=arm64","cpe:2.3:a:debian:cmake:3.31.6-2:*:*:*:*:*:*:*","pkg:deb/debian/cmake@3.31.6-2?arch=arm64","LIBRARY","debian-target"
"cmake-data","3.31.6-2","Apache-2.0 | BSD-0-Clause | BSD-2-Clause | BSD-2-Clause or ISC | BSD-3-Clause | BSD-3-clause | BSD-4-Clause | Expat | FSFAP | GPL-2+ with Bison exception | GPL-3+ with Bison exception | ISC | Zlib","","","","","","Organization: Debian CMake Team <pkg-cmake-team@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cmake:3.31.6-2:*:*:*:*:*:*:*","pkg:deb/debian/cmake@3.31.6-2?arch=all","cpe:2.3:a:debian:cmake:3.31.6-2:*:*:*:*:*:*:*","pkg:deb/debian/cmake@3.31.6-2?arch=all","LIBRARY","debian-target"
"colord","1.4.7-3","CC0-1.0 | CC0-1.0 and NPES | GFDL-NIV | GPL-2+ | LGPL-2.1+ | NPES","","","","","","Organization: Debian freedesktop.org maintainers <pkg-freedesktop-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:colord:1.4.7-3:*:*:*:*:*:*:*","pkg:deb/debian/colord@1.4.7-3?arch=arm64","cpe:2.3:a:debian:colord:1.4.7-3:*:*:*:*:*:*:*","pkg:deb/debian/colord@1.4.7-3?arch=arm64","APPLICATION","debian-target"
"colord-data","1.4.7-3","CC0-1.0 | CC0-1.0 and NPES | GFDL-NIV | GPL-2+ | LGPL-2.1+ | NPES","","","","","","Organization: Debian freedesktop.org maintainers <pkg-freedesktop-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:colord:1.4.7-3:*:*:*:*:*:*:*","pkg:deb/debian/colord@1.4.7-3?arch=all","cpe:2.3:a:debian:colord:1.4.7-3:*:*:*:*:*:*:*","pkg:deb/debian/colord@1.4.7-3?arch=all","APPLICATION","debian-target"
"comerr-dev","2.1-1.47.2-3+b11","0BSD | Apache-2 | BSD-3-Clause | BSD-3-Clause-Variant | BSD-4-Clause-CMU | Expat | GPL or MIT-US-export | GPL-2 | GPL-2+ | GPL-2+ with Texinfo exception | ISC | Kazlib | LGPL-2 | Latex2e","","","","","","Organization: Theodore Y. Ts'o <tytso@mit.edu>","Copyright (c) Debian contributors","cpe:2.3:a:debian:e2fsprogs (1.47.2-3):2.1-1.47.2-3+b11:*:*:*:*:*:*:*","pkg:deb/debian/e2fsprogs (1.47.2-3)@2.1-1.47.2-3+b11?arch=arm64","cpe:2.3:a:debian:e2fsprogs (1.47.2-3):2.1-1.47.2-3+b11:*:*:*:*:*:*:*","pkg:deb/debian/e2fsprogs (1.47.2-3)@2.1-1.47.2-3+b11?arch=arm64","LIBRARY","debian-target"
"console-setup","1.242~deb13u1","","","","","","","Organization: Debian Install System Team <debian-boot@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:console-setup:1.242~deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/console-setup@1.242~deb13u1?arch=all","cpe:2.3:a:debian:console-setup:1.242~deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/console-setup@1.242~deb13u1?arch=all","APPLICATION","debian-target"
"console-setup-linux","1.242~deb13u1","","","","","","","Organization: Debian Install System Team <debian-boot@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:console-setup:1.242~deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/console-setup@1.242~deb13u1?arch=all","cpe:2.3:a:debian:console-setup:1.242~deb13u1:*:*:*:*:*:*:*","pkg:deb/debian/console-setup@1.242~deb13u1?arch=all","APPLICATION","debian-target"
"coreutils","9.7-3","BSD-4-clause-UC | FSFULLR | GFDL-NIV-1.3 | GPL-3+ | GPL-3+ and BSD-4-clause-UC | GPL-3+ and ISC | ISC","","","","","","Organization: Michael Stone <mstone@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:coreutils:9.7-3:*:*:*:*:*:*:*","pkg:deb/debian/coreutils@9.7-3?arch=arm64","cpe:2.3:a:debian:coreutils:9.7-3:*:*:*:*:*:*:*","pkg:deb/debian/coreutils@9.7-3?arch=arm64","APPLICATION","debian-target"
"cpio","2.15+dfsg-2","GPL-3+ | LGPL-3+","","","","","","Organization: Anibal Monsalve Salazar <anibal@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:cpio:2.15+dfsg-2:*:*:*:*:*:*:*","pkg:deb/debian/cpio@2.15+dfsg-2?arch=arm64","cpe:2.3:a:debian:cpio:2.15+dfsg-2:*:*:*:*:*:*:*","pkg:deb/debian/cpio@2.15+dfsg-2?arch=arm64","APPLICATION","debian-target"
